SSID,FirstName,LastName,MiddleName,Grade,DOB,Gender,Ethnicity,School,Address,City,State,ZipCode,Phone,ParentName,ParentPhone,ParentEmail,ELL,504,IEP,CaseManager,Disability,ServiceMinutes,Goals,Notes,Plan,ReviewDate,ReevalDate,MeetingDate,SpeechProvider,MHProvider,OTProvider,ProgramAccommodations,IEP_Services
123456827,Student38,Seis38,M,9,2008-03-11,M,Asian,Central High School,138 Main St,Anytown,CA,90210,555-0038,Parent38,555-1038,parent38@email.com,No,No,No,Case Manager 4,ASD,174,Goal for student 38: Improve academic performance and social skills,Notes for student 38: Requires additional support in math and reading,IEP,2024-03-11,2027-03-11,2024-03-11,Speech Provider 3,Mental Health Provider 3,OT Provider 3,Extended time; Preferential seating; Read aloud,Speech and Language; Occupational Therapy; Physical Therapy
123456828,Student39,Seis39,N,10,2008-04-12,F,Other,Central High School,139 Main St,Anytown,CA,90210,555-0039,Parent39,555-1039,parent39@email.com,No,No,Yes,Case Manager 5,ED,177,Goal for student 39: Improve academic performance and social skills,Notes for student 39: Requires additional support in math and reading,504,2024-04-12,2027-04-12,2024-04-12,Speech Provider 1,Mental Health Provider 1,OT Provider 1,Extended time,Speech and Language; Occupational Therapy; Physical Therapy; Mental Health
123456829,Student40,Seis40,O,11,2008-05-13,M,Hispanic,Central High School,140 Main St,Anytown,CA,90210,555-0040,Parent40,555-1040,parent40@email.com,Yes,Yes,No,Case Manager 1,SLD,180,Goal for student 40: Improve academic performance and social skills,Notes for student 40: Requires additional support in math and reading,IEP,2024-05-13,2027-05-13,2024-05-13,Speech Provider 2,Mental Health Provider 2,OT Provider 2,Extended time; Preferential seating,Speech and Language
123456830,Student41,Seis41,P,12,2008-06-14,F,White,Central High School,141 Main St,Anytown,CA,90210,555-0041,Parent41,555-1041,parent41@email.com,No,No,No,Case Manager 2,OHI,183,Goal for student 41: Improve academic performance and social skills,Notes for student 41: Requires additional support in math and reading,504,2024-06-14,2027-06-14,2024-06-14,Speech Provider 3,Mental Health Provider 3,OT Provider 3,Extended time; Preferential seating; Read aloud,Speech and Language; Occupational Therapy
123456831,Student42,Seis42,Q,7,2008-07-15,M,Black,Central High School,142 Main St,Anytown,CA,90210,555-0042,Parent42,555-1042,parent42@email.com,No,No,Yes,Case Manager 3,ASD,186,Goal for student 42: Improve academic performance and social skills,Notes for student 42: Requires additional support in math and reading,IEP,2024-07-15,2027-07-15,2024-07-15,Speech Provider 1,Mental Health Provider 1,OT Provider 1,Extended time,Speech and Language; Occupational Therapy; Physical Therapy
123456832,Student43,Seis43,R,8,2008-08-16,F,Asian,Central High School,143 Main St,Anytown,CA,90210,555-0043,Parent43,555-1043,parent43@email.com,No,No,No,Case Manager 4,ED,189,Goal for student 43: Improve academic performance and social skills,Notes for student 43: Requires additional support in math and reading,504,2024-08-16,2027-08-16,2024-08-16,Speech Provider 2,Mental Health Provider 2,OT Provider 2,Extended time; Preferential seating,Speech and Language; Occupational Therapy; Physical Therapy; Mental Health
123456833,Student44,Seis44,S,9,2008-09-17,M,Other,Central High School,144 Main St,Anytown,CA,90210,555-0044,Parent44,555-1044,parent44@email.com,No,Yes,No,Case Manager 5,SLD,192,Goal for student 44: Improve academic performance and social skills,Notes for student 44: Requires additional support in math and reading,IEP,2024-09-17,2027-09-17,2024-09-17,Speech Provider 3,Mental Health Provider 3,OT Provider 3,Extended time; Preferential seating; Read aloud,Speech and Language
123456834,Student45,Seis45,T,10,2008-10-18,F,Hispanic,Central High School,145 Main St,Anytown,CA,90210,555-0045,Parent45,555-1045,parent45@email.com,Yes,No,Yes,Case Manager 1,OHI,195,Goal for student 45: Improve academic performance and social skills,Notes for student 45: Requires additional support in math and reading,504,2024-10-18,2027-10-18,2024-10-18,Speech Provider 1,Mental Health Provider 1,OT Provider 1,Extended time,Speech and Language; Occupational Therapy
123456835,Student46,Seis46,U,11,2008-11-19,M,White,Central High School,146 Main St,Anytown,CA,90210,555-0046,Parent46,555-1046,parent46@email.com,No,No,No,Case Manager 2,ASD,198,Goal for student 46: Improve academic performance and social skills,Notes for student 46: Requires additional support in math and reading,IEP,2024-11-19,2027-11-19,2024-11-19,Speech Provider 2,Mental Health Provider 2,OT Provider 2,Extended time; Preferential seating,Speech and Language; Occupational Therapy; Physical Therapy
123456836,Student47,Seis47,V,12,2008-12-20,F,Black,Central High School,147 Main St,Anytown,CA,90210,555-0047,Parent47,555-1047,parent47@email.com,No,No,No,Case Manager 3,ED,201,Goal for student 47: Improve academic performance and social skills,Notes for student 47: Requires additional support in math and reading,504,2024-12-20,2027-12-20,2024-12-20,Speech Provider 3,Mental Health Provider 3,OT Provider 3,Extended time; Preferential seating; Read aloud,Speech and Language; Occupational Therapy; Physical Therapy; Mental Health
123456837,Student48,Seis48,W,7,2008-01-21,M,Asian,Central High School,148 Main St,Anytown,CA,90210,555-0048,Parent48,555-1048,parent48@email.com,No,Yes,Yes,Case Manager 4,SLD,204,Goal for student 48: Improve academic performance and social skills,Notes for student 48: Requires additional support in math and reading,IEP,2024-01-21,2027-01-21,2024-01-21,Speech Provider 1,Mental Health Provider 1,OT Provider 1,Extended time,Speech and Language
123456838,Student49,Seis49,X,8,2008-02-22,F,Other,Central High School,149 Main St,Anytown,CA,90210,555-0049,Parent49,555-1049,parent49@email.com,No,No,No,Case Manager 5,OHI,207,Goal for student 49: Improve academic performance and social skills,Notes for student 49: Requires additional support in math and reading,504,2024-02-22,2027-02-22,2024-02-22,Speech Provider 2,Mental Health Provider 2,OT Provider 2,Extended time; Preferential seating,Speech and Language; Occupational Therapy
123456839,Student50,Seis50,Y,9,2008-03-23,M,Hispanic,Central High School,150 Main St,Anytown,CA,90210,555-0050,Parent50,555-1050,parent50@email.com,Yes,No,No,Case Manager 1,ASD,210,Goal for student 50: Improve academic performance and social skills,Notes for student 50: Requires additional support in math and reading,IEP,2024-03-23,2027-03-23,2024-03-23,Speech Provider 3,Mental Health Provider 3,OT Provider 3,Extended time; Preferential seating; Read aloud,Speech and Language; Occupational Therapy; Physical Therapy
123456840,Student51,Seis51,Z,10,2008-04-24,F,White,Central High School,151 Main St,Anytown,CA,90210,555-0051,Parent51,555-1051,parent51@email.com,No,No,Yes,Case Manager 2,ED,213,Goal for student 51: Improve academic performance and social skills,Notes for student 51: Requires additional support in math and reading,504,2024-04-24,2027-04-24,2024-04-24,Speech Provider 1,Mental Health Provider 1,OT Provider 1,Extended time,Speech and Language; Occupational Therapy; Physical Therapy; Mental Health
123456841,Student52,Seis52,A,11,2008-05-25,M,Black,Central High School,152 Main St,Anytown,CA,90210,555-0052,Parent52,555-1052,parent52@email.com,No,Yes,No,Case Manager 3,SLD,216,Goal for student 52: Improve academic performance and social skills,Notes for student 52: Requires additional support in math and reading,IEP,2024-05-25,2027-05-25,2024-05-25,Speech Provider 2,Mental Health Provider 2,OT Provider 2,Extended time; Preferential seating,Speech and Language
123456842,Student53,Seis53,B,12,2008-06-26,F,Asian,Central High School,153 Main St,Anytown,CA,90210,555-0053,Parent53,555-1053,parent53@email.com,No,No,No,Case Manager 4,OHI,219,Goal for student 53: Improve academic performance and social skills,Notes for student 53: Requires additional support in math and reading,504,2024-06-26,2027-06-26,2024-06-26,Speech Provider 3,Mental Health Provider 3,OT Provider 3,Extended time; Preferential seating; Read aloud,Speech and Language; Occupational Therapy
123456843,Student54,Seis54,C,7,2008-07-27,M,Other,Central High School,154 Main St,Anytown,CA,90210,555-0054,Parent54,555-1054,parent54@email.com,No,No,Yes,Case Manager 5,ASD,222,Goal for student 54: Improve academic performance and social skills,Notes for student 54: Requires additional support in math and reading,IEP,2024-07-27,2027-07-27,2024-07-27,Speech Provider 1,Mental Health Provider 1,OT Provider 1,Extended time,Speech and Language; Occupational Therapy; Physical Therapy
123456844,Student55,Seis55,D,8,2008-08-28,F,Hispanic,Central High School,155 Main St,Anytown,CA,90210,555-0055,Parent55,555-1055,parent55@email.com,Yes,No,No,Case Manager 1,ED,225,Goal for student 55: Improve academic performance and social skills,Notes for student 55: Requires additional support in math and reading,504,2024-08-28,2027-08-28,2024-08-28,Speech Provider 2,Mental Health Provider 2,OT Provider 2,Extended time; Preferential seating,Speech and Language; Occupational Therapy; Physical Therapy; Mental Health
123456845,Student56,Seis56,E,9,2008-09-01,M,White,Central High School,156 Main St,Anytown,CA,90210,555-0056,Parent56,555-1056,parent56@email.com,No,Yes,No,Case Manager 2,SLD,228,Goal for student 56: Improve academic performance and social skills,Notes for student 56: Requires additional support in math and reading,IEP,2024-09-01,2027-09-01,2024-09-01,Speech Provider 3,Mental Health Provider 3,OT Provider 3,Extended time; Preferential seating; Read aloud,Speech and Language
123456846,Student57,Seis57,F,10,2008-10-02,F,Black,Central High School,157 Main St,Anytown,CA,90210,555-0057,Parent57,555-1057,parent57@email.com,No,No,Yes,Case Manager 3,OHI,231,Goal for student 57: Improve academic performance and social skills,Notes for student 57: Requires additional support in math and reading,504,2024-10-02,2027-10-02,2024-10-02,Speech Provider 1,Mental Health Provider 1,OT Provider 1,Extended time,Speech and Language; Occupational Therapy
123456847,Student58,Seis58,G,11,2008-11-03,M,Asian,Central High School,158 Main St,Anytown,CA,90210,555-0058,Parent58,555-1058,parent58@email.com,No,No,No,Case Manager 4,ASD,234,Goal for student 58: Improve academic performance and social skills,Notes for student 58: Requires additional support in math and reading,IEP,2024-11-03,2027-11-03,2024-11-03,Speech Provider 2,Mental Health Provider 2,OT Provider 2,Extended time; Preferential seating,Speech and Language; Occupational Therapy; Physical Therapy
123456848,Student59,Seis59,H,12,2008-12-04,F,Other,Central High School,159 Main St,Anytown,CA,90210,555-0059,Parent59,555-1059,parent59@email.com,No,No,No,Case Manager 5,ED,237,Goal for student 59: Improve academic performance and social skills,Notes for student 59: Requires additional support in math and reading,504,2024-12-04,2027-12-04,2024-12-04,Speech Provider 3,Mental Health Provider 3,OT Provider 3,Extended time; Preferential seating; Read aloud,Speech and Language; Occupational Therapy; Physical Therapy; Mental Health
123456849,Student60,Seis60,I,7,2008-01-05,M,Hispanic,Central High School,160 Main St,Anytown,CA,90210,555-0060,Parent60,555-1060,parent60@email.com,Yes,Yes,Yes,Case Manager 1,SLD,240,Goal for student 60: Improve academic performance and social skills,Notes for student 60: Requires additional support in math and reading,IEP,2024-01-05,2027-01-05,2024-01-05,Speech Provider 1,Mental Health Provider 1,OT Provider 1,Extended time,Speech and Language
123456850,Student61,Seis61,J,8,2008-02-06,F,White,Central High School,161 Main St,Anytown,CA,90210,555-0061,Parent61,555-1061,parent61@email.com,No,No,No,Case Manager 2,OHI,243,Goal for student 61: Improve academic performance and social skills,Notes for student 61: Requires additional support in math and reading,504,2024-02-06,2027-02-06,2024-02-06,Speech Provider 2,Mental Health Provider 2,OT Provider 2,Extended time; Preferential seating,Speech and Language; Occupational Therapy
123456851,Student62,Seis62,K,9,2008-03-07,M,Black,Central High School,162 Main St,Anytown,CA,90210,555-0062,Parent62,555-1062,parent62@email.com,No,No,No,Case Manager 3,ASD,246,Goal for student 62: Improve academic performance and social skills,Notes for student 62: Requires additional support in math and reading,IEP,2024-03-07,2027-03-07,2024-03-07,Speech Provider 3,Mental Health Provider 3,OT Provider 3,Extended time; Preferential seating; Read aloud,Speech and Language; Occupational Therapy; Physical Therapy
