SSID,givenName,familyName,middleName,email,phone,dateOfBirth,sex,grade,school,schoolCode,schoolName,Address,City,State,ZipCode,ParentName,ParentPhone,ParentEmail,CaseManager,ServiceMinutes,Goals,Notes,Plan,SpeechProvider,MHProvider,OTProvider,ReviewDate,ReevalDate,MeetingDate,MedicalNotes,Vision,Hearing,CAASPP,ELPAC,Disabilities,Accommodations,IEPGoals,IEPServices
"123456800","Mia","Hernandez","K","student11@school.edu","555-0011","2008-11-11","M","10","Central High School","CHS","Central High School","110 Main St","Anytown","CA","90210","Parent11","555-0011","parent11@email.com","Aubrey Morales","176","Goal for student 11: Improve academic performance and social skills","Notes for student 11: Requires additional support in math and reading","Plan 1","Sofia Diaz","Nathan Morris","Layla Gomez","2024-11-11","2027-11-11","2024-11-11","None","20/40","Mild hearing loss","Below Basic","Advanced","SLD","Extended time","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP"
"123456801","Oliver","Lopez","L","student12@school.edu","555-0012","2008-12-12","F","11","Central High School","CHS","Central High School","111 Main St","Anytown","CA","90210","Parent12","555-0012","parent12@email.com","Lily Stewart","336","Goal for student 12: Improve academic performance and social skills","Notes for student 12: Requires additional support in math and reading","Plan 2","Sofia Diaz","Nathan Morris","Layla Gomez","2024-12-12","2027-12-12","2024-12-12","None","20/20","Normal","Advanced","Beginning","SLD;OHI;AUT","Extended time;Preferential seating","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP"
"123456802","Charlotte","Gonzalez","M","student13@school.edu","555-0013","2008-01-13","M","8","Central High School","CHS","Central High School","112 Main St","Anytown","CA","90210","Parent13","555-0013","parent13@email.com","Ellie Cook","171","Goal for student 13: Improve academic performance and social skills","Notes for student 13: Requires additional support in math and reading","Plan 3","Sofia Diaz","Nathan Morris","Layla Gomez","2024-01-13","2027-01-13","2024-01-13","Requires medication monitoring","20/20","Normal","Below Basic","Advanced","SLD;OHI;AUT","Extended time","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP;MH;OT"
"123456803","Elijah","Wilson","N","student14@school.edu","555-0014","2008-02-14","F","9","Central High School","CHS","Central High School","113 Main St","Anytown","CA","90210","Parent14","555-0014","parent14@email.com","Lily Stewart","257","Goal for student 14: Improve academic performance and social skills","Notes for student 14: Requires additional support in math and reading","Plan 2","Sofia Diaz","Nathan Morris","Layla Gomez","2024-02-14","2027-02-14","2024-02-14","None","20/20","Normal","Below Basic","Intermediate","SLD","Extended time","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP"
"123456804","Amelia","Anderson","O","student15@school.edu","555-0015","2008-03-15","M","10","Central High School","CHS","Central High School","114 Main St","Anytown","CA","90210","Parent15","555-0015","parent15@email.com","Ellie Cook","225","Goal for student 15: Improve academic performance and social skills","Notes for student 15: Requires additional support in math and reading","Plan 2","Sofia Diaz","Nathan Morris","Layla Gomez","2024-03-15","2027-03-15","2024-03-15","None","20/20","Normal","Basic","Advanced","SLD;OHI;AUT","Extended time","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP;MH"
"123456805","James","Thomas","P","student16@school.edu","555-0016","2008-04-16","F","11","Central High School","CHS","Central High School","115 Main St","Anytown","CA","90210","Parent16","555-0016","parent16@email.com","Aubrey Morales","111","Goal for student 16: Improve academic performance and social skills","Notes for student 16: Requires additional support in math and reading","Plan 2","Sofia Diaz","Nathan Morris","Layla Gomez","2024-04-16","2027-04-16","2024-04-16","Requires medication monitoring","20/40","Normal","Advanced","Intermediate","SLD","Extended time;Preferential seating;Read aloud;Scribe","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP;MH"
"123456806","Harper","Taylor","Q","student17@school.edu","555-0017","2008-05-17","M","8","Central High School","CHS","Central High School","116 Main St","Anytown","CA","90210","Parent17","555-0017","parent17@email.com","Isaac Murphy","245","Goal for student 17: Improve academic performance and social skills","Notes for student 17: Requires additional support in math and reading","Plan 3","Sofia Diaz","Nathan Morris","Layla Gomez","2024-05-17","2027-05-17","2024-05-17","None","20/20","Normal","Proficient","Advanced","SLD;OHI;AUT","Extended time;Preferential seating;Read aloud;Scribe","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP;MH"
"123456807","Benjamin","Moore","R","student18@school.edu","555-0018","2008-06-18","F","9","Central High School","CHS","Central High School","117 Main St","Anytown","CA","90210","Parent18","555-0018","parent18@email.com","Aubrey Morales","343","Goal for student 18: Improve academic performance and social skills","Notes for student 18: Requires additional support in math and reading","Plan 3","Sofia Diaz","Nathan Morris","Layla Gomez","2024-06-18","2027-06-18","2024-06-18","None","20/20","Normal","Proficient","Early Intermediate","SLD;OHI;AUT","Extended time","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP"
"123456808","Evelyn","Jackson","S","student19@school.edu","555-0019","2008-07-19","M","10","Central High School","CHS","Central High School","118 Main St","Anytown","CA","90210","Parent19","555-0019","parent19@email.com","Isaac Murphy","314","Goal for student 19: Improve academic performance and social skills","Notes for student 19: Requires additional support in math and reading","Plan 3","Sofia Diaz","Nathan Morris","Layla Gomez","2024-07-19","2027-07-19","2024-07-19","Requires medication monitoring","20/20","Normal","Basic","Early Advanced","SLD;OHI","Extended time","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP;MH"
"123456809","Sebastian","Martin","T","student20@school.edu","555-0020","2008-08-20","F","11","Central High School","CHS","Central High School","119 Main St","Anytown","CA","90210","Parent20","555-0020","parent20@email.com","Ellie Cook","101","Goal for student 20: Improve academic performance and social skills","Notes for student 20: Requires additional support in math and reading","Plan 2","Sofia Diaz","Nathan Morris","Layla Gomez","2024-08-20","2027-08-20","2024-08-20","None","20/20","Normal","Basic","Early Intermediate","SLD;OHI;AUT","Extended time;Preferential seating;Read aloud;Scribe","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP;MH;OT"
"123456810","Abigail","Lee","U","student21@school.edu","555-0021","2008-09-21","M","8","Central High School","CHS","Central High School","120 Main St","Anytown","CA","90210","Parent21","555-0021","parent21@email.com","Nathan Morris","183","Goal for student 21: Improve academic performance and social skills","Notes for student 21: Requires additional support in math and reading","Plan 3","Sofia Diaz","Nathan Morris","Layla Gomez","2024-09-21","2027-09-21","2024-09-21","None","20/40","Mild hearing loss","Below Basic","Early Intermediate","SLD;OHI;AUT","Extended time;Preferential seating;Read aloud","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP"
"123456811","Michael","Perez","V","student22@school.edu","555-0022","2008-10-22","F","9","Central High School","CHS","Central High School","121 Main St","Anytown","CA","90210","Parent22","555-0022","parent22@email.com","Lily Stewart","184","Goal for student 22: Improve academic performance and social skills","Notes for student 22: Requires additional support in math and reading","Plan 2","Sofia Diaz","Nathan Morris","Layla Gomez","2024-10-22","2027-10-22","2024-10-22","Requires medication monitoring","20/20","Normal","Advanced","Early Intermediate","SLD","Extended time;Preferential seating","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP"
"123456812","Emily","Thompson","W","student23@school.edu","555-0023","2008-11-23","M","10","Central High School","CHS","Central High School","122 Main St","Anytown","CA","90210","Parent23","555-0023","parent23@email.com","Aubrey Morales","285","Goal for student 23: Improve academic performance and social skills","Notes for student 23: Requires additional support in math and reading","Plan 3","Sofia Diaz","Nathan Morris","Layla Gomez","2024-11-23","2027-11-23","2024-11-23","None","20/20","Normal","Proficient","Advanced","SLD;OHI","Extended time;Preferential seating;Read aloud;Scribe","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP"
"123456813","Daniel","White","X","student24@school.edu","555-0024","2008-12-24","F","11","Central High School","CHS","Central High School","123 Main St","Anytown","CA","90210","Parent24","555-0024","parent24@email.com","Aubrey Morales","359","Goal for student 24: Improve academic performance and social skills","Notes for student 24: Requires additional support in math and reading","Plan 3","Sofia Diaz","Nathan Morris","Layla Gomez","2024-12-24","2027-12-24","2024-12-24","None","20/20","Normal","Advanced","Intermediate","SLD;OHI;AUT","Extended time","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP;MH;OT"
"123456814","Elizabeth","Harris","Y","student25@school.edu","555-0025","2008-01-25","M","8","Central High School","CHS","Central High School","124 Main St","Anytown","CA","90210","Parent25","555-0025","parent25@email.com","Isaac Murphy","337","Goal for student 25: Improve academic performance and social skills","Notes for student 25: Requires additional support in math and reading","Plan 3","Sofia Diaz","Nathan Morris","Layla Gomez","2024-01-25","2027-01-25","2024-01-25","Requires medication monitoring","20/20","Normal","Below Basic","Beginning","SLD;OHI","Extended time;Preferential seating;Read aloud","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP;MH;OT"
"123456815","Henry","Sanchez","Z","student26@school.edu","555-0026","2008-02-26","F","9","Central High School","CHS","Central High School","125 Main St","Anytown","CA","90210","Parent26","555-0026","parent26@email.com","Aubrey Morales","167","Goal for student 26: Improve academic performance and social skills","Notes for student 26: Requires additional support in math and reading","Plan 1","Sofia Diaz","Nathan Morris","Layla Gomez","2024-02-26","2027-02-26","2024-02-26","None","20/40","Normal","Advanced","Intermediate","SLD;OHI","Extended time","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP;MH"
"123456816","Sofia","Clark","A","student27@school.edu","555-0027","2008-03-27","M","10","Central High School","CHS","Central High School","126 Main St","Anytown","CA","90210","Parent27","555-0027","parent27@email.com","Nathan Morris","139","Goal for student 27: Improve academic performance and social skills","Notes for student 27: Requires additional support in math and reading","Plan 1","Sofia Diaz","Nathan Morris","Layla Gomez","2024-03-27","2027-03-27","2024-03-27","None","20/20","Normal","Proficient","Early Advanced","SLD","Extended time","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP;MH;OT"
"123456817","Jackson","Ramirez","B","student28@school.edu","555-0028","2008-04-28","F","11","Central High School","CHS","Central High School","127 Main St","Anytown","CA","90210","Parent28","555-0028","parent28@email.com","Ellie Cook","164","Goal for student 28: Improve academic performance and social skills","Notes for student 28: Requires additional support in math and reading","Plan 3","Sofia Diaz","Nathan Morris","Layla Gomez","2024-04-28","2027-04-28","2024-04-28","Requires medication monitoring","20/20","Normal","Proficient","Advanced","SLD;OHI","Extended time;Preferential seating;Read aloud","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP;MH"
"123456818","Madison","Lewis","C","student29@school.edu","555-0029","2008-05-01","M","8","Central High School","CHS","Central High School","128 Main St","Anytown","CA","90210","Parent29","555-0029","parent29@email.com","Lily Stewart","341","Goal for student 29: Improve academic performance and social skills","Notes for student 29: Requires additional support in math and reading","Plan 3","Sofia Diaz","Nathan Morris","Layla Gomez","2024-05-01","2027-05-01","2024-05-01","None","20/20","Normal","Advanced","Advanced","SLD;OHI","Extended time;Preferential seating;Read aloud","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP;MH"
"123456819","Samuel","Robinson","D","student30@school.edu","555-0030","2008-06-02","F","9","Central High School","CHS","Central High School","129 Main St","Anytown","CA","90210","Parent30","555-0030","parent30@email.com","Lily Stewart","127","Goal for student 30: Improve academic performance and social skills","Notes for student 30: Requires additional support in math and reading","Plan 2","Sofia Diaz","Nathan Morris","Layla Gomez","2024-06-02","2027-06-02","2024-06-02","None","20/20","Normal","Proficient","Early Advanced","SLD;OHI","Extended time;Preferential seating;Read aloud;Scribe","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP;MH"
"123456820","Avery","Walker","E","student31@school.edu","555-0031","2008-07-03","M","10","Central High School","CHS","Central High School","130 Main St","Anytown","CA","90210","Parent31","555-0031","parent31@email.com","Lily Stewart","87","Goal for student 31: Improve academic performance and social skills","Notes for student 31: Requires additional support in math and reading","Plan 1","Sofia Diaz","Nathan Morris","Layla Gomez","2024-07-03","2027-07-03","2024-07-03","Requires medication monitoring","20/40","Mild hearing loss","Below Basic","Intermediate","SLD;OHI","Extended time;Preferential seating;Read aloud","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP;MH;OT"
"123456821","David","Young","F","student32@school.edu","555-0032","2008-08-04","F","11","Central High School","CHS","Central High School","131 Main St","Anytown","CA","90210","Parent32","555-0032","parent32@email.com","Nathan Morris","186","Goal for student 32: Improve academic performance and social skills","Notes for student 32: Requires additional support in math and reading","Plan 3","Sofia Diaz","Nathan Morris","Layla Gomez","2024-08-04","2027-08-04","2024-08-04","None","20/20","Normal","Below Basic","Beginning","SLD","Extended time;Preferential seating;Read aloud","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP;MH"
"123456822","Ella","Allen","G","student33@school.edu","555-0033","2008-09-05","M","8","Central High School","CHS","Central High School","132 Main St","Anytown","CA","90210","Parent33","555-0033","parent33@email.com","Isaac Murphy","100","Goal for student 33: Improve academic performance and social skills","Notes for student 33: Requires additional support in math and reading","Plan 3","Sofia Diaz","Nathan Morris","Layla Gomez","2024-09-05","2027-09-05","2024-09-05","None","20/20","Normal","Proficient","Intermediate","SLD;OHI","Extended time;Preferential seating;Read aloud;Scribe","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP;MH"
"123456823","Joseph","King","H","student34@school.edu","555-0034","2008-10-06","F","9","Central High School","CHS","Central High School","133 Main St","Anytown","CA","90210","Parent34","555-0034","parent34@email.com","Ellie Cook","81","Goal for student 34: Improve academic performance and social skills","Notes for student 34: Requires additional support in math and reading","Plan 3","Sofia Diaz","Nathan Morris","Layla Gomez","2024-10-06","2027-10-06","2024-10-06","Requires medication monitoring","20/20","Normal","Basic","Early Advanced","SLD","Extended time;Preferential seating;Read aloud","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP;MH"
"123456824","Scarlett","Wright","I","student35@school.edu","555-0035","2008-11-07","M","10","Central High School","CHS","Central High School","134 Main St","Anytown","CA","90210","Parent35","555-0035","parent35@email.com","Isaac Murphy","138","Goal for student 35: Improve academic performance and social skills","Notes for student 35: Requires additional support in math and reading","Plan 1","Sofia Diaz","Nathan Morris","Layla Gomez","2024-11-07","2027-11-07","2024-11-07","None","20/20","Normal","Proficient","Advanced","SLD;OHI","Extended time;Preferential seating;Read aloud","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP"
"123456825","Carter","Scott","J","student36@school.edu","555-0036","2008-12-08","F","11","Central High School","CHS","Central High School","135 Main St","Anytown","CA","90210","Parent36","555-0036","parent36@email.com","Lily Stewart","293","Goal for student 36: Improve academic performance and social skills","Notes for student 36: Requires additional support in math and reading","Plan 1","Sofia Diaz","Nathan Morris","Layla Gomez","2024-12-08","2027-12-08","2024-12-08","None","20/40","Normal","Basic","Beginning","SLD","Extended time","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP;MH;OT"
"123456826","Grace","Torres","K","student37@school.edu","555-0037","2008-01-09","M","8","Central High School","CHS","Central High School","136 Main St","Anytown","CA","90210","Parent37","555-0037","parent37@email.com","Ellie Cook","311","Goal for student 37: Improve academic performance and social skills","Notes for student 37: Requires additional support in math and reading","Plan 2","Sofia Diaz","Nathan Morris","Layla Gomez","2024-01-09","2027-01-09","2024-01-09","Requires medication monitoring","20/20","Normal","Advanced","Early Advanced","SLD;OHI","Extended time;Preferential seating","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP"
"123456827","Owen","Nguyen","L","student38@school.edu","555-0038","2008-02-10","F","9","Central High School","CHS","Central High School","137 Main St","Anytown","CA","90210","Parent38","555-0038","parent38@email.com","Aubrey Morales","61","Goal for student 38: Improve academic performance and social skills","Notes for student 38: Requires additional support in math and reading","Plan 3","Sofia Diaz","Nathan Morris","Layla Gomez","2024-02-10","2027-02-10","2024-02-10","None","20/20","Normal","Advanced","Intermediate","SLD;OHI","Extended time;Preferential seating","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP;MH;OT"
"123456828","Chloe","Hill","M","student39@school.edu","555-0039","2008-03-11","M","10","Central High School","CHS","Central High School","138 Main St","Anytown","CA","90210","Parent39","555-0039","parent39@email.com","Isaac Murphy","260","Goal for student 39: Improve academic performance and social skills","Notes for student 39: Requires additional support in math and reading","Plan 3","Sofia Diaz","Nathan Morris","Layla Gomez","2024-03-11","2027-03-11","2024-03-11","None","20/20","Normal","Proficient","Advanced","SLD;OHI;AUT","Extended time;Preferential seating","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP;MH"
"123456829","Wyatt","Flores","N","student40@school.edu","555-0040","2008-04-12","F","11","Central High School","CHS","Central High School","139 Main St","Anytown","CA","90210","Parent40","555-0040","parent40@email.com","Lily Stewart","108","Goal for student 40: Improve academic performance and social skills","Notes for student 40: Requires additional support in math and reading","Plan 3","Sofia Diaz","Nathan Morris","Layla Gomez","2024-04-12","2027-04-12","2024-04-12","Requires medication monitoring","20/20","Normal","Advanced","Intermediate","SLD;OHI;AUT","Extended time;Preferential seating;Read aloud","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP"
"123456830","Victoria","Green","O","student41@school.edu","555-0041","2008-05-13","M","8","Central High School","CHS","Central High School","140 Main St","Anytown","CA","90210","Parent41","555-0041","parent41@email.com","Isaac Murphy","106","Goal for student 41: Improve academic performance and social skills","Notes for student 41: Requires additional support in math and reading","Plan 3","Sofia Diaz","Nathan Morris","Layla Gomez","2024-05-13","2027-05-13","2024-05-13","None","20/40","Mild hearing loss","Below Basic","Beginning","SLD;OHI;AUT","Extended time;Preferential seating;Read aloud;Scribe","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP"
"123456831","John","Adams","P","student42@school.edu","555-0042","2008-06-14","F","9","Central High School","CHS","Central High School","141 Main St","Anytown","CA","90210","Parent42","555-0042","parent42@email.com","Isaac Murphy","146","Goal for student 42: Improve academic performance and social skills","Notes for student 42: Requires additional support in math and reading","Plan 1","Sofia Diaz","Nathan Morris","Layla Gomez","2024-06-14","2027-06-14","2024-06-14","None","20/20","Normal","Proficient","Early Advanced","SLD;OHI","Extended time;Preferential seating;Read aloud;Scribe","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP;MH;OT"
"123456832","Riley","Nelson","Q","student43@school.edu","555-0043","2008-07-15","M","10","Central High School","CHS","Central High School","142 Main St","Anytown","CA","90210","Parent43","555-0043","parent43@email.com","Isaac Murphy","129","Goal for student 43: Improve academic performance and social skills","Notes for student 43: Requires additional support in math and reading","Plan 3","Sofia Diaz","Nathan Morris","Layla Gomez","2024-07-15","2027-07-15","2024-07-15","Requires medication monitoring","20/20","Normal","Advanced","Early Intermediate","SLD;OHI","Extended time;Preferential seating","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP"
"123456833","Jack","Baker","R","student44@school.edu","555-0044","2008-08-16","F","11","Central High School","CHS","Central High School","143 Main St","Anytown","CA","90210","Parent44","555-0044","parent44@email.com","Lily Stewart","73","Goal for student 44: Improve academic performance and social skills","Notes for student 44: Requires additional support in math and reading","Plan 1","Sofia Diaz","Nathan Morris","Layla Gomez","2024-08-16","2027-08-16","2024-08-16","None","20/20","Normal","Proficient","Intermediate","SLD;OHI;AUT","Extended time;Preferential seating;Read aloud;Scribe","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP;MH;OT"
"123456834","Aria","Hall","S","student45@school.edu","555-0045","2008-09-17","M","8","Central High School","CHS","Central High School","144 Main St","Anytown","CA","90210","Parent45","555-0045","parent45@email.com","Nathan Morris","105","Goal for student 45: Improve academic performance and social skills","Notes for student 45: Requires additional support in math and reading","Plan 2","Sofia Diaz","Nathan Morris","Layla Gomez","2024-09-17","2027-09-17","2024-09-17","None","20/20","Normal","Below Basic","Advanced","SLD;OHI;AUT","Extended time;Preferential seating;Read aloud","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP"
"123456835","Luke","Rivera","T","student46@school.edu","555-0046","2008-10-18","F","9","Central High School","CHS","Central High School","145 Main St","Anytown","CA","90210","Parent46","555-0046","parent46@email.com","Isaac Murphy","259","Goal for student 46: Improve academic performance and social skills","Notes for student 46: Requires additional support in math and reading","Plan 3","Sofia Diaz","Nathan Morris","Layla Gomez","2024-10-18","2027-10-18","2024-10-18","Requires medication monitoring","20/40","Normal","Advanced","Early Intermediate","SLD;OHI;AUT","Extended time","Goal 1: Improve reading comprehension; Goal 2: Enhance social skills; Goal 3: Develop study strategies","SP;MH;OT"
