sourcedId,givenName,familyName,middleName,email,phone,dateOfBirth,sex,grade,school,schoolCode,schoolName,address,city,state,zipCode,parentName,parentPhone,parentEmail,specialEducation,plan504,ell,disabilities,MedicalNotes,Vision,Hearing,CAASPP,ELPAC,CaseManager,SpeechProvider,MHProvider,OTProvider,Disability,ServiceMinutes,Goals,Notes,Plan,period1TeacherId,period1Subject,period1Room,period2TeacherId,period2Subject,period2Room,period3TeacherId,period3Subject,period3Room,period4TeacherId,period4Subject,period4Room,period5TeacherId,period5Subject,period5Room,period6TeacherId,period6Subject,period6Room,period7TeacherId,period7Subject,period7Room
123456800,Student11,Aeries11,L,student11@school.edu,555-0011,2008-12-12,F,12,Central High School,CHS,Central High School,111 Main St,Anytown,CA,90210,Parent11,555-1011,parent11@email.com,No,No,No,ED,,20/20,Normal,Advanced,Early Intermediate,Case Manager 2,Speech Provider 3,Mental Health Provider 3,OT Provider 3,ED,93,Goal for student 11: Improve academic performance and social skills,Notes for student 11: Requires additional support in math and reading,504,100016,History,103,100021,Spanish,202,100037,Music,201,100039,Spanish,103,100001,English,205,100015,English,104,100002,History,205
123456801,Student12,Aeries12,M,student12@school.edu,555-0012,2008-01-13,M,7,Central High School,CHS,Central High School,112 Main St,Anytown,CA,90210,Parent12,555-1012,parent12@email.com,Yes,Yes,No,SLD,Medical notes for student 12,20/40,Normal,Below Basic,Intermediate,Case Manager 3,Speech Provider 1,Mental Health Provider 1,OT Provider 1,SLD,96,Goal for student 12: Improve academic performance and social skills,Notes for student 12: Requires additional support in math and reading,IEP,100025,Music,103,100013,Music,102,100025,Art,102,100026,History,105,100019,Science,101,100004,Computer Science,205,100029,Music,102
123456802,Student13,Aeries13,N,student13@school.edu,555-0013,2008-02-14,F,8,Central High School,CHS,Central High School,113 Main St,Anytown,CA,90210,Parent13,555-1013,parent13@email.com,No,No,No,OHI,,20/20,Normal,Basic,Early Advanced,Case Manager 4,Speech Provider 2,Mental Health Provider 2,OT Provider 2,OHI,99,Goal for student 13: Improve academic performance and social skills,Notes for student 13: Requires additional support in math and reading,504,100027,Science,105,100038,PE,102,100037,English,202,100006,Spanish,104,100045,Math,204,100042,Spanish,204,100022,Computer Science,102
123456803,Student14,Aeries14,O,student14@school.edu,555-0014,2008-03-15,M,9,Central High School,CHS,Central High School,114 Main St,Anytown,CA,90210,Parent14,555-1014,parent14@email.com,No,No,No,ASD,,20/20,Normal,Proficient,Advanced,Case Manager 5,Speech Provider 3,Mental Health Provider 3,OT Provider 3,ASD,102,Goal for student 14: Improve academic performance and social skills,Notes for student 14: Requires additional support in math and reading,IEP,100010,French,103,100015,History,102,100018,Art,201,100014,French,101,100043,History,104,100023,Spanish,104,100017,English,202
123456804,Student15,Aeries15,P,student15@school.edu,555-0015,2008-04-16,F,10,Central High School,CHS,Central High School,115 Main St,Anytown,CA,90210,Parent15,555-1015,parent15@email.com,Yes,No,Yes,ED,Medical notes for student 15,20/20,Mild hearing loss,Advanced,Beginning,Case Manager 1,Speech Provider 1,Mental Health Provider 1,OT Provider 1,ED,105,Goal for student 15: Improve academic performance and social skills,Notes for student 15: Requires additional support in math and reading,504,100044,Computer Science,102,100017,Art,102,100036,Math,204,100004,PE,202,100024,Art,101,100018,Math,204,100037,History,205
123456805,Student16,Aeries16,Q,student16@school.edu,555-0016,2008-05-17,M,11,Central High School,CHS,Central High School,116 Main St,Anytown,CA,90210,Parent16,555-1016,parent16@email.com,No,Yes,No,SLD,,20/40,Normal,Below Basic,Early Intermediate,Case Manager 2,Speech Provider 2,Mental Health Provider 2,OT Provider 2,SLD,108,Goal for student 16: Improve academic performance and social skills,Notes for student 16: Requires additional support in math and reading,IEP,100012,Music,202,100045,French,105,100022,Science,104,100027,Math,205,100027,History,101,100045,Spanish,104,100032,PE,204
123456806,Student17,Aeries17,R,student17@school.edu,555-0017,2008-06-18,F,12,Central High School,CHS,Central High School,117 Main St,Anytown,CA,90210,Parent17,555-1017,parent17@email.com,No,No,No,OHI,,20/20,Normal,Basic,Intermediate,Case Manager 3,Speech Provider 3,Mental Health Provider 3,OT Provider 3,OHI,111,Goal for student 17: Improve academic performance and social skills,Notes for student 17: Requires additional support in math and reading,504,100032,History,104,100043,Music,202,100008,Spanish,205,100041,Science,104,100031,French,202,100008,Art,202,100024,Math,102
123456807,Student18,Aeries18,S,student18@school.edu,555-0018,2008-07-19,M,7,Central High School,CHS,Central High School,118 Main St,Anytown,CA,90210,Parent18,555-1018,parent18@email.com,Yes,No,No,ASD,Medical notes for student 18,20/20,Normal,Proficient,Early Advanced,Case Manager 4,Speech Provider 1,Mental Health Provider 1,OT Provider 1,ASD,114,Goal for student 18: Improve academic performance and social skills,Notes for student 18: Requires additional support in math and reading,IEP,100002,History,204,100026,Science,204,100041,History,204,100003,Music,104,100015,Music,201,100002,English,201,100007,Music,104
123456808,Student19,Aeries19,T,student19@school.edu,555-0019,2008-08-20,F,8,Central High School,CHS,Central High School,119 Main St,Anytown,CA,90210,Parent19,555-1019,parent19@email.com,No,No,No,ED,,20/20,Normal,Advanced,Advanced,Case Manager 5,Speech Provider 2,Mental Health Provider 2,OT Provider 2,ED,117,Goal for student 19: Improve academic performance and social skills,Notes for student 19: Requires additional support in math and reading,504,100010,PE,204,100023,Music,105,100041,Math,101,100032,English,205,100038,Computer Science,202,100029,Spanish,202,100007,History,205
123456809,Student20,Aeries20,U,student20@school.edu,555-0020,2008-09-21,M,9,Central High School,CHS,Central High School,120 Main St,Anytown,CA,90210,Parent20,555-1020,parent20@email.com,No,Yes,Yes,SLD,,20/40,Mild hearing loss,Below Basic,Beginning,Case Manager 1,Speech Provider 3,Mental Health Provider 3,OT Provider 3,SLD,120,Goal for student 20: Improve academic performance and social skills,Notes for student 20: Requires additional support in math and reading,IEP,100045,Computer Science,102,100019,Art,101,100008,History,103,100034,French,101,100007,French,104,100027,PE,104,100036,Computer Science,103
123456810,Student21,Aeries21,V,student21@school.edu,555-0021,2008-10-22,F,10,Central High School,CHS,Central High School,121 Main St,Anytown,CA,90210,Parent21,555-1021,parent21@email.com,Yes,No,No,OHI,Medical notes for student 21,20/20,Normal,Basic,Early Intermediate,Case Manager 2,Speech Provider 1,Mental Health Provider 1,OT Provider 1,OHI,123,Goal for student 21: Improve academic performance and social skills,Notes for student 21: Requires additional support in math and reading,504,100006,Computer Science,104,100031,English,101,100008,French,101,100009,Spanish,102,100009,French,104,100019,Spanish,102,100012,English,202
123456811,Student22,Aeries22,W,student22@school.edu,555-0022,2008-11-23,M,11,Central High School,CHS,Central High School,122 Main St,Anytown,CA,90210,Parent22,555-1022,parent22@email.com,No,No,No,ASD,,20/20,Normal,Proficient,Intermediate,Case Manager 3,Speech Provider 2,Mental Health Provider 2,OT Provider 2,ASD,126,Goal for student 22: Improve academic performance and social skills,Notes for student 22: Requires additional support in math and reading,IEP,100002,PE,102,100024,Spanish,103,100038,Art,204,100019,Music,102,100025,Computer Science,105,100006,French,102,100003,Spanish,202
123456812,Student23,Aeries23,X,student23@school.edu,555-0023,2008-12-24,F,12,Central High School,CHS,Central High School,123 Main St,Anytown,CA,90210,Parent23,555-1023,parent23@email.com,No,No,No,ED,,20/20,Normal,Advanced,Early Advanced,Case Manager 4,Speech Provider 3,Mental Health Provider 3,OT Provider 3,ED,129,Goal for student 23: Improve academic performance and social skills,Notes for student 23: Requires additional support in math and reading,504,100002,Math,101,100006,Spanish,204,100023,English,103,100029,Computer Science,102,100010,Science,105,100024,Computer Science,101,100002,PE,201
123456813,Student24,Aeries24,Y,student24@school.edu,555-0024,2008-01-25,M,7,Central High School,CHS,Central High School,124 Main St,Anytown,CA,90210,Parent24,555-1024,parent24@email.com,Yes,Yes,No,SLD,Medical notes for student 24,20/40,Normal,Below Basic,Advanced,Case Manager 5,Speech Provider 1,Mental Health Provider 1,OT Provider 1,SLD,132,Goal for student 24: Improve academic performance and social skills,Notes for student 24: Requires additional support in math and reading,IEP,100009,PE,102,100022,History,205,100032,Math,105,100037,Music,202,100031,History,203,100009,PE,104,100038,Spanish,201
123456814,Student25,Aeries25,Z,student25@school.edu,555-0025,2008-02-26,F,8,Central High School,CHS,Central High School,125 Main St,Anytown,CA,90210,Parent25,555-1025,parent25@email.com,No,No,Yes,OHI,,20/20,Mild hearing loss,Basic,Beginning,Case Manager 1,Speech Provider 2,Mental Health Provider 2,OT Provider 2,OHI,135,Goal for student 25: Improve academic performance and social skills,Notes for student 25: Requires additional support in math and reading,504,100020,History,103,100026,PE,102,100026,Music,201,100020,Music,201,100040,PE,104,100015,History,202,100021,Art,103
123456815,Student26,Aeries26,A,student26@school.edu,555-0026,2008-03-27,M,9,Central High School,CHS,Central High School,126 Main St,Anytown,CA,90210,Parent26,555-1026,parent26@email.com,No,No,No,ASD,,20/20,Normal,Proficient,Early Intermediate,Case Manager 2,Speech Provider 3,Mental Health Provider 3,OT Provider 3,ASD,138,Goal for student 26: Improve academic performance and social skills,Notes for student 26: Requires additional support in math and reading,IEP,100021,Music,105,100016,Computer Science,104,100038,History,204,100011,History,202,100035,Science,103,100011,History,101,100002,Music,101
123456816,Student27,Aeries27,B,student27@school.edu,555-0027,2008-04-28,F,10,Central High School,CHS,Central High School,127 Main St,Anytown,CA,90210,Parent27,555-1027,parent27@email.com,Yes,No,No,ED,Medical notes for student 27,20/20,Normal,Advanced,Intermediate,Case Manager 3,Speech Provider 1,Mental Health Provider 1,OT Provider 1,ED,141,Goal for student 27: Improve academic performance and social skills,Notes for student 27: Requires additional support in math and reading,504,100043,Art,205,100020,French,205,100015,Art,102,100010,Spanish,203,100002,Math,205,100001,Art,101,100024,PE,204
123456817,Student28,Aeries28,C,student28@school.edu,555-0028,2008-05-01,M,11,Central High School,CHS,Central High School,128 Main St,Anytown,CA,90210,Parent28,555-1028,parent28@email.com,No,Yes,No,SLD,,20/40,Normal,Below Basic,Early Advanced,Case Manager 4,Speech Provider 2,Mental Health Provider 2,OT Provider 2,SLD,144,Goal for student 28: Improve academic performance and social skills,Notes for student 28: Requires additional support in math and reading,IEP,100038,Math,202,100025,Spanish,101,100007,Spanish,102,100030,Spanish,201,100020,Music,104,100037,Computer Science,202,100037,English,202
123456818,Student29,Aeries29,D,student29@school.edu,555-0029,2008-06-02,F,12,Central High School,CHS,Central High School,129 Main St,Anytown,CA,90210,Parent29,555-1029,parent29@email.com,No,No,No,OHI,,20/20,Normal,Basic,Advanced,Case Manager 5,Speech Provider 3,Mental Health Provider 3,OT Provider 3,OHI,147,Goal for student 29: Improve academic performance and social skills,Notes for student 29: Requires additional support in math and reading,504,100041,Art,102,100016,History,101,100002,French,202,100033,Music,104,100031,Art,104,100001,PE,105,100021,Art,103
123456819,Student30,Aeries30,E,student30@school.edu,555-0030,2008-07-03,M,7,Central High School,CHS,Central High School,130 Main St,Anytown,CA,90210,Parent30,555-1030,parent30@email.com,Yes,No,Yes,ASD,Medical notes for student 30,20/20,Mild hearing loss,Proficient,Beginning,Case Manager 1,Speech Provider 1,Mental Health Provider 1,OT Provider 1,ASD,150,Goal for student 30: Improve academic performance and social skills,Notes for student 30: Requires additional support in math and reading,IEP,100013,Art,104,100042,Art,103,100004,French,201,100001,Music,104,100045,French,202,100043,Computer Science,103,100010,Math,204
123456820,Student31,Aeries31,F,student31@school.edu,555-0031,2008-08-04,F,8,Central High School,CHS,Central High School,131 Main St,Anytown,CA,90210,Parent31,555-1031,parent31@email.com,No,No,No,ED,,20/20,Normal,Advanced,Early Intermediate,Case Manager 2,Speech Provider 2,Mental Health Provider 2,OT Provider 2,ED,153,Goal for student 31: Improve academic performance and social skills,Notes for student 31: Requires additional support in math and reading,504,100041,PE,204,100039,Art,204,100017,Math,104,100019,History,202,100019,Science,205,100016,Art,105,100013,History,102
123456821,Student32,Aeries32,G,student32@school.edu,555-0032,2008-09-05,M,9,Central High School,CHS,Central High School,132 Main St,Anytown,CA,90210,Parent32,555-1032,parent32@email.com,No,Yes,No,SLD,,20/40,Normal,Below Basic,Intermediate,Case Manager 3,Speech Provider 3,Mental Health Provider 3,OT Provider 3,SLD,156,Goal for student 32: Improve academic performance and social skills,Notes for student 32: Requires additional support in math and reading,IEP,100014,History,101,100030,Science,102,100017,Music,102,100010,French,201,100021,Math,203,100015,PE,105,100007,English,103
123456822,Student33,Aeries33,H,student33@school.edu,555-0033,2008-10-06,F,10,Central High School,CHS,Central High School,133 Main St,Anytown,CA,90210,Parent33,555-1033,parent33@email.com,Yes,No,No,OHI,Medical notes for student 33,20/20,Normal,Basic,Early Advanced,Case Manager 4,Speech Provider 1,Mental Health Provider 1,OT Provider 1,OHI,159,Goal for student 33: Improve academic performance and social skills,Notes for student 33: Requires additional support in math and reading,504,100003,French,201,100042,History,103,100016,Science,105,100026,Spanish,101,100030,Math,103,100042,History,204,100003,Art,204
123456823,Student34,Aeries34,I,student34@school.edu,555-0034,2008-11-07,M,11,Central High School,CHS,Central High School,134 Main St,Anytown,CA,90210,Parent34,555-1034,parent34@email.com,No,No,No,ASD,,20/20,Normal,Proficient,Advanced,Case Manager 5,Speech Provider 2,Mental Health Provider 2,OT Provider 2,ASD,162,Goal for student 34: Improve academic performance and social skills,Notes for student 34: Requires additional support in math and reading,IEP,100037,Computer Science,105,100017,Spanish,102,100007,Science,201,100044,History,101,100012,Spanish,105,100009,Art,102,100019,Spanish,202
123456824,Student35,Aeries35,J,student35@school.edu,555-0035,2008-12-08,F,12,Central High School,CHS,Central High School,135 Main St,Anytown,CA,90210,Parent35,555-1035,parent35@email.com,No,No,Yes,ED,,20/20,Mild hearing loss,Advanced,Beginning,Case Manager 1,Speech Provider 3,Mental Health Provider 3,OT Provider 3,ED,165,Goal for student 35: Improve academic performance and social skills,Notes for student 35: Requires additional support in math and reading,504,100022,Science,201,100020,English,101,100004,Spanish,201,100043,Computer Science,201,100007,French,201,100010,Art,105,100014,PE,203
123456825,Student36,Aeries36,K,student36@school.edu,555-0036,2008-01-09,M,7,Central High School,CHS,Central High School,136 Main St,Anytown,CA,90210,Parent36,555-1036,parent36@email.com,Yes,Yes,No,SLD,Medical notes for student 36,20/40,Normal,Below Basic,Early Intermediate,Case Manager 2,Speech Provider 1,Mental Health Provider 1,OT Provider 1,SLD,168,Goal for student 36: Improve academic performance and social skills,Notes for student 36: Requires additional support in math and reading,IEP,100035,Art,201,100016,History,203,100044,Science,105,100011,History,202,100002,Music,201,100020,Art,203,100042,PE,104
123456826,Student37,Aeries37,L,student37@school.edu,555-0037,2008-02-10,F,8,Central High School,CHS,Central High School,137 Main St,Anytown,CA,90210,Parent37,555-1037,parent37@email.com,No,No,No,OHI,,20/20,Normal,Basic,Intermediate,Case Manager 3,Speech Provider 2,Mental Health Provider 2,OT Provider 2,OHI,171,Goal for student 37: Improve academic performance and social skills,Notes for student 37: Requires additional support in math and reading,504,100014,English,205,100031,Spanish,201,100040,History,103,100042,Spanish,203,100030,History,105,100026,Music,104,100043,English,105
123456827,Student38,Aeries38,M,student38@school.edu,555-0038,2008-03-11,M,9,Central High School,CHS,Central High School,138 Main St,Anytown,CA,90210,Parent38,555-1038,parent38@email.com,No,No,No,ASD,,20/20,Normal,Proficient,Early Advanced,Case Manager 4,Speech Provider 3,Mental Health Provider 3,OT Provider 3,ASD,174,Goal for student 38: Improve academic performance and social skills,Notes for student 38: Requires additional support in math and reading,IEP,100028,Spanish,103,100039,Music,202,100037,Science,204,100001,French,203,100009,Spanish,103,100037,French,104,100023,Art,105
123456828,Student39,Aeries39,N,student39@school.edu,555-0039,2008-04-12,F,10,Central High School,CHS,Central High School,139 Main St,Anytown,CA,90210,Parent39,555-1039,parent39@email.com,Yes,No,No,ED,Medical notes for student 39,20/20,Normal,Advanced,Advanced,Case Manager 5,Speech Provider 1,Mental Health Provider 1,OT Provider 1,ED,177,Goal for student 39: Improve academic performance and social skills,Notes for student 39: Requires additional support in math and reading,504,100012,Music,203,100033,Computer Science,105,100037,English,101,100043,Spanish,103,100035,Science,103,100004,English,102,100018,French,203
123456829,Student40,Aeries40,O,student40@school.edu,555-0040,2008-05-13,M,11,Central High School,CHS,Central High School,140 Main St,Anytown,CA,90210,Parent40,555-1040,parent40@email.com,No,Yes,Yes,SLD,,20/40,Mild hearing loss,Below Basic,Beginning,Case Manager 1,Speech Provider 2,Mental Health Provider 2,OT Provider 2,SLD,180,Goal for student 40: Improve academic performance and social skills,Notes for student 40: Requires additional support in math and reading,IEP,100045,Computer Science,202,100024,Science,204,100022,PE,105,100034,Spanish,202,100025,Math,105,100026,Science,202,100024,Spanish,201
123456830,Student41,Aeries41,P,student41@school.edu,555-0041,2008-06-14,F,12,Central High School,CHS,Central High School,141 Main St,Anytown,CA,90210,Parent41,555-1041,parent41@email.com,No,No,No,OHI,,20/20,Normal,Basic,Early Intermediate,Case Manager 2,Speech Provider 3,Mental Health Provider 3,OT Provider 3,OHI,183,Goal for student 41: Improve academic performance and social skills,Notes for student 41: Requires additional support in math and reading,504,100023,History,103,100003,Science,103,100037,English,204,100037,PE,204,100030,Math,205,100036,Spanish,103,100011,Science,105
123456831,Student42,Aeries42,Q,student42@school.edu,555-0042,2008-07-15,M,7,Central High School,CHS,Central High School,142 Main St,Anytown,CA,90210,Parent42,555-1042,parent42@email.com,Yes,No,No,ASD,Medical notes for student 42,20/20,Normal,Proficient,Intermediate,Case Manager 3,Speech Provider 1,Mental Health Provider 1,OT Provider 1,ASD,186,Goal for student 42: Improve academic performance and social skills,Notes for student 42: Requires additional support in math and reading,IEP,100022,PE,103,100041,Math,101,100044,English,205,100037,Science,205,100011,Computer Science,102,100011,History,202,100019,Computer Science,201
123456832,Student43,Aeries43,R,student43@school.edu,555-0043,2008-08-16,F,8,Central High School,CHS,Central High School,143 Main St,Anytown,CA,90210,Parent43,555-1043,parent43@email.com,No,No,No,ED,,20/20,Normal,Advanced,Early Advanced,Case Manager 4,Speech Provider 2,Mental Health Provider 2,OT Provider 2,ED,189,Goal for student 43: Improve academic performance and social skills,Notes for student 43: Requires additional support in math and reading,504,100016,Science,102,100032,English,204,100008,PE,105,100009,English,101,100036,Science,203,100013,PE,204,100024,Music,205
123456833,Student44,Aeries44,S,student44@school.edu,555-0044,2008-09-17,M,9,Central High School,CHS,Central High School,144 Main St,Anytown,CA,90210,Parent44,555-1044,parent44@email.com,No,Yes,No,SLD,,20/40,Normal,Below Basic,Advanced,Case Manager 5,Speech Provider 3,Mental Health Provider 3,OT Provider 3,SLD,192,Goal for student 44: Improve academic performance and social skills,Notes for student 44: Requires additional support in math and reading,IEP,100022,Science,203,100045,Math,204,100044,History,201,100037,Science,104,100042,English,104,100039,Math,102,100012,Science,101
123456834,Student45,Aeries45,T,student45@school.edu,555-0045,2008-10-18,F,10,Central High School,CHS,Central High School,145 Main St,Anytown,CA,90210,Parent45,555-1045,parent45@email.com,Yes,No,Yes,OHI,Medical notes for student 45,20/20,Mild hearing loss,Basic,Beginning,Case Manager 1,Speech Provider 1,Mental Health Provider 1,OT Provider 1,OHI,195,Goal for student 45: Improve academic performance and social skills,Notes for student 45: Requires additional support in math and reading,504,100038,French,105,100038,Spanish,205,100038,Art,105,100011,PE,203,100007,Art,202,100038,PE,102,100018,PE,104
123456835,Student46,Aeries46,U,student46@school.edu,555-0046,2008-11-19,M,11,Central High School,CHS,Central High School,146 Main St,Anytown,CA,90210,Parent46,555-1046,parent46@email.com,No,No,No,ASD,,20/20,Normal,Proficient,Early Intermediate,Case Manager 2,Speech Provider 2,Mental Health Provider 2,OT Provider 2,ASD,198,Goal for student 46: Improve academic performance and social skills,Notes for student 46: Requires additional support in math and reading,IEP,100014,Science,104,100037,PE,102,100024,History,204,100018,Spanish,103,100044,History,105,100017,Spanish,204,100019,English,103
123456836,Student47,Aeries47,V,student47@school.edu,555-0047,2008-12-20,F,12,Central High School,CHS,Central High School,147 Main St,Anytown,CA,90210,Parent47,555-1047,parent47@email.com,No,No,No,ED,,20/20,Normal,Advanced,Intermediate,Case Manager 3,Speech Provider 3,Mental Health Provider 3,OT Provider 3,ED,201,Goal for student 47: Improve academic performance and social skills,Notes for student 47: Requires additional support in math and reading,504,100030,Computer Science,104,100005,Music,101,100001,PE,202,100044,Art,103,100003,Music,201,100034,Art,205,100004,Science,105
123456837,Student48,Aeries48,W,student48@school.edu,555-0048,2008-01-21,M,7,Central High School,CHS,Central High School,148 Main St,Anytown,CA,90210,Parent48,555-1048,parent48@email.com,Yes,Yes,No,SLD,Medical notes for student 48,20/40,Normal,Below Basic,Early Advanced,Case Manager 4,Speech Provider 1,Mental Health Provider 1,OT Provider 1,SLD,204,Goal for student 48: Improve academic performance and social skills,Notes for student 48: Requires additional support in math and reading,IEP,100012,Science,203,100033,Art,205,100036,Science,101,100004,Art,201,100040,French,205,100011,PE,205,100044,Science,203
123456838,Student49,Aeries49,X,student49@school.edu,555-0049,2008-02-22,F,8,Central High School,CHS,Central High School,149 Main St,Anytown,CA,90210,Parent49,555-1049,parent49@email.com,No,No,No,OHI,,20/20,Normal,Basic,Advanced,Case Manager 5,Speech Provider 2,Mental Health Provider 2,OT Provider 2,OHI,207,Goal for student 49: Improve academic performance and social skills,Notes for student 49: Requires additional support in math and reading,504,100031,Math,203,100021,English,202,100037,French,201,100040,Art,105,100004,Spanish,105,100031,French,105,100004,Spanish,205
123456839,Student50,Aeries50,Y,student50@school.edu,555-0050,2008-03-23,M,9,Central High School,CHS,Central High School,150 Main St,Anytown,CA,90210,Parent50,555-1050,parent50@email.com,No,No,Yes,ASD,,20/20,Mild hearing loss,Proficient,Beginning,Case Manager 1,Speech Provider 3,Mental Health Provider 3,OT Provider 3,ASD,210,Goal for student 50: Improve academic performance and social skills,Notes for student 50: Requires additional support in math and reading,IEP,100045,Computer Science,204,100022,Computer Science,204,100001,Spanish,103,100039,History,201,100044,Art,203,100020,French,204,100039,English,201
