SSID,LastName,FirstName,MiddleName,Grade,DOB,Gender,Ethnicity,School,Address,City,State,ZipCode,Phone,ParentName,ParentPhone,ParentEmail,ELL,504,IEP,CaseManager,Disability,ServiceMinutes,Goals,Notes,Plan,ReviewDate,ReevalDate,MeetingDate,SpeechProvider,MHProvider,OTProvider,InstructionAccommodations,AssessmentAccommodations,Flag1,Flag2,Period1Subject,Period1TeacherId,Period1Room,Period2Subject,Period2TeacherId,Period2Room,Period3Subject,Period3TeacherId,Period3Room,Period4Subject,Period4TeacherId,Period4Room,Period5Subject,Period5TeacherId,Period5Room,Period6Subject,Period6TeacherId,Period6Room,Period7Subject,Period7TeacherId,Period7Room
"123456799","Perez","Layla","Hazel","11","2007-07-27","Female","Other","Central High School","7261 Oak Road","Springfield","CA","90210","555-6910","Nathan Perez","555-3508","layla.perez@email.com","Yes","Yes","No","","","","","","General Education","2024-08-18","2025-03-14","2024-10-09","","Dr. Brown","","No accommodations needed","No accommodations needed","true","false","Science","100045","103","Algebra","100052","122","English","100043","229","World History","100065","224","Choir","100034","287","English","100068","167","Creative Writing","100041","265"
"123456800","Rodriguez","Daniel","Josiah","11","2006-03-01","Female","Other","Central High School","7049 Cedar Avenue","Springfield","CA","90210","555-7791","Mateo Rodriguez","555-1261","daniel.rodriguez@email.com","No","No","Yes","","","","","","Special Education","2024-06-09","2025-11-28","2024-07-17","","","","Extended time; Preferential seating","No accommodations needed","false","false","Creative Writing","100062","144","German","100041","232","Drama","100065","241","Economics","100075","279","Psychology","100052","173","US History","100054","124","Journalism","100054","148"
"123456801","Thomas","Violet","Levi","10","2008-08-07","Female","White","Central High School","4441 Maple Street","Springfield","CA","90210","555-0454","Mateo Thomas","555-2754","violet.thomas@email.com","Yes","No","No","Brown","","128","","","Special Education","2024-06-04","2025-04-25","2024-06-26","","","","Extended time; Preferential seating","No accommodations needed","false","false","Music","100056","169","Algebra","100053","124","Algebra","100042","147","Government","100044","218","Music","100071","201","Creative Writing","100034","209","World History","100068","285"
"123456802","Young","Henry","Abigail","10","2008-09-15","Female","Asian","Central High School","7813 Maple Drive","Springfield","CA","90210","555-2885","Grace Young","555-8551","henry.young@email.com","Yes","No","Yes","Williams","","","","","Special Education","2024-04-14","2025-01-28","2024-08-19","","","Ms. Davis","No accommodations needed","No accommodations needed","false","false","English","100067","124","Choir","100052","200","Science","100054","103","World History","100060","163","Geometry","100051","140","History","100060","285","Chemistry","100043","234"
"123456803","Thomas","Leah","Ellie","12","2006-02-07","Female","Other","Central High School","1335 Cedar Avenue","Springfield","CA","90210","555-3189","Gabriel Thomas","555-8105","leah.thomas@email.com","Yes","Yes","Yes","","","","","Student shows good progress with current interventions","General Education","2024-08-18","2025-01-24","2024-10-25","","","","No accommodations needed","Extended time; Separate setting","false","false","English","100034","232","Chemistry","100037","237","Psychology","100045","142","French","100033","282","Sociology","100031","165","Sociology","100048","103","French","100049","266"
"123456804","Sanchez","Michael","Emily","10","2007-05-11","Male","Asian","Central High School","6749 Oak Lane","Springfield","CA","90210","555-3527","Hazel Sanchez","555-1891","michael.sanchez@email.com","Yes","No","No","","","98","Improve academic skills and social development","Student shows good progress with current interventions","General Education","2024-03-05","2025-04-12","2024-08-04","","","","No accommodations needed","No accommodations needed","false","true","Music","100058","271","Art","100048","197","Spanish","100054","257","Drama","100059","180","Algebra","100035","257","Sociology","100074","225","Music","100034","279"
"123456805","Hall","Olivia","Samuel","9","2009-06-06","Female","White","Central High School","896 Pine Avenue","Springfield","CA","90210","555-8364","Violet Hall","555-9739","olivia.hall@email.com","Yes","No","No","","Learning Disability","","Improve academic skills and social development","","General Education","2024-02-21","2025-11-12","2024-10-11","","","","No accommodations needed","No accommodations needed","false","false","Sociology","100039","243","Sociology","100062","104","Economics","100046","124","Journalism","100053","241","Art","100069","274","Journalism","100073","252","Science","100073","281"
"123456806","Martinez","Hazel","Carter","10","2007-02-03","Male","Asian","Central High School","7285 Maple Avenue","Springfield","CA","90210","555-2002","Claire Martinez","555-9884","hazel.martinez@email.com","No","No","No","Brown","","","","","General Education","2024-09-04","2025-04-25","2024-12-21","Dr. Wilson","Dr. Brown","Ms. Davis","No accommodations needed","Extended time; Separate setting","false","false","English","100056","151","English","100055","250","Science","100065","193","Math","100058","110","Chemistry","100032","246","Economics","100055","208","Calculus","100053","171"
"123456807","Nelson","Savannah","Ella","12","2006-10-28","Male","White","Central High School","5750 Cedar Drive","Springfield","CA","90210","555-1810","Henry Nelson","555-3690","savannah.nelson@email.com","Yes","No","No","Williams","Autism Spectrum","","Improve academic skills and social development","Student shows good progress with current interventions","Special Education","2024-08-22","2025-09-12","2024-08-24","Dr. Wilson","","Ms. Davis","Extended time; Preferential seating","No accommodations needed","false","false","Music","100040","158","French","100066","286","World History","100056","194","Journalism","100058","114","World History","100040","282","Psychology","100062","257","Economics","100055","294"
"123456808","Rodriguez","Noah","Noah","10","2008-12-18","Male","White","Central High School","8550 Oak Drive","Springfield","CA","90210","555-2661","Oliver Rodriguez","555-8871","noah.rodriguez@email.com","No","No","No","","","","","","General Education","2024-12-14","2025-05-28","2024-06-23","","","Ms. Davis","Extended time; Preferential seating","No accommodations needed","true","false","French","100069","247","US History","100062","181","Physics","100040","112","Biology","100072","162","Calculus","100046","180","Journalism","100071","243","Psychology","100075","297"
"123456809","Scott","Thomas","Dylan","12","2006-04-08","Female","Black","Central High School","4628 Maple Street","Springfield","CA","90210","555-6711","Wyatt Scott","555-4791","thomas.scott@email.com","No","No","No","Brown","","","Improve academic skills and social development","Student shows good progress with current interventions","Special Education","2024-04-06","2025-05-15","2024-10-05","Dr. Wilson","","","No accommodations needed","No accommodations needed","false","false","Journalism","100050","243","Science","100060","249","Computer Science","100064","201","Science","100053","286","Sociology","100033","195","Art","100046","270","Chemistry","100050","279"
"123456810","King","Henry","Zoe","12","2006-11-25","Male","Other","Central High School","1220 Cedar Lane","Springfield","CA","90210","555-9837","Elizabeth King","555-9698","henry.king@email.com","No","Yes","No","","","208","Improve academic skills and social development","","General Education","2024-01-26","2025-09-21","2024-07-15","","","","No accommodations needed","No accommodations needed","false","true","Creative Writing","100035","217","Journalism","100065","217","Algebra","100051","213","Sociology","100055","167","Art","100064","259","History","100064","260","German","100049","114"
"123456811","Green","Bella","Mia","12","2006-02-26","Female","Black","Central High School","4256 Cedar Street","Springfield","CA","90210","555-7146","Luke Green","555-5521","bella.green@email.com","No","No","No","Williams","Learning Disability","","","","General Education","2024-06-12","2025-03-06","2024-11-09","","","","Extended time; Preferential seating","No accommodations needed","false","false","Science","100056","142","German","100037","140","Creative Writing","100064","231","Geometry","100044","227","Music","100054","151","US History","100060","296","Chemistry","100033","187"
"123456812","Wilson","Victoria","Benjamin","11","2007-04-17","Female","Hispanic","Central High School","7522 Pine Lane","Springfield","CA","90210","555-7825","Layla Wilson","555-7951","victoria.wilson@email.com","Yes","No","No","","","83","Improve academic skills and social development","","General Education","2024-12-19","2025-12-02","2024-01-21","","","","No accommodations needed","No accommodations needed","true","false","Chemistry","100047","219","Drama","100052","174","Literature","100048","277","Economics","100045","154","Art","100044","152","PE","100040","136","Calculus","100069","230"
"123456813","Adams","Adrian","Mateo","10","2008-02-24","Female","White","Central High School","1004 Oak Avenue","Springfield","CA","90210","555-2175","John Adams","555-5893","adrian.adams@email.com","Yes","No","Yes","Williams","","109","Improve academic skills and social development","","General Education","2024-05-26","2025-10-20","2024-07-05","","","","No accommodations needed","No accommodations needed","false","false","Government","100040","174","English","100041","266","Spanish","100051","296","Journalism","100040","119","Drama","100062","250","Choir","100075","264","World History","100060","129"
"123456814","Davis","Oliver","Grace","9","2009-12-15","Male","Hispanic","Central High School","8608 Pine Avenue","Springfield","CA","90210","555-7658","Joseph Davis","555-6377","oliver.davis@email.com","No","No","No","","","","","","Special Education","2024-07-17","2025-08-28","2024-05-19","","","","No accommodations needed","No accommodations needed","false","false","Drama","100050","211","English","100048","104","Computer Science","100048","195","Computer Science","100036","122","Creative Writing","100043","152","Algebra","100032","159","Math","100060","148"
"123456815","Clark","Anthony","Sofia","10","2008-11-12","Female","Black","Central High School","4948 Cedar Street","Springfield","CA","90210","555-8622","Sofia Clark","555-9680","anthony.clark@email.com","No","No","Yes","","","","","Student shows good progress with current interventions","General Education","2024-01-16","2025-07-21","2024-09-04","Dr. Wilson","Dr. Brown","Ms. Davis","Extended time; Preferential seating","Extended time; Separate setting","false","false","Band","100033","226","French","100047","197","Biology","100051","242","US History","100066","238","Creative Writing","100035","201","French","100065","287","English","100067","139"
"123456816","Hall","Emily","Oliver","9","2009-09-03","Male","Hispanic","Central High School","6060 Oak Street","Springfield","CA","90210","555-0119","Brooklyn Hall","555-3238","emily.hall@email.com","No","No","No","Brown","","104","","","General Education","2024-01-17","2025-09-18","2024-10-12","","","","No accommodations needed","No accommodations needed","false","true","Choir","100055","253","PE","100063","124","World History","100058","180","Chemistry","100070","203","Drama","100038","114","French","100044","150","Geometry","100072","208"
"123456817","Harris","Isaac","Julian","12","2005-06-28","Male","White","Central High School","196 Maple Lane","Springfield","CA","90210","555-2856","Zoe Harris","555-7507","isaac.harris@email.com","No","No","No","","","216","","","General Education","2024-09-26","2025-01-04","2024-08-21","","Dr. Brown","Ms. Davis","No accommodations needed","No accommodations needed","false","false","Literature","100031","115","Journalism","100050","109","Science","100069","124","Math","100063","245","Geometry","100054","161","Science","100033","284","Science","100031","284"
"123456818","Lee","Oliver","Harper","9","2009-06-11","Male","Black","Central High School","9337 Cedar Drive","Springfield","CA","90210","555-2812","Luna Lee","555-1396","oliver.lee@email.com","No","No","No","","","","","","General Education","2024-03-03","2025-02-19","2024-06-19","","Dr. Brown","","No accommodations needed","No accommodations needed","false","false","US History","100075","262","Physics","100071","140","French","100062","183","Literature","100073","272","PE","100033","276","Geometry","100032","124","French","100041","280"
"123456819","King","Owen","Samuel","9","2008-07-10","Male","White","Central High School","1779 Maple Lane","Springfield","CA","90210","555-0727","Sofia King","555-6092","owen.king@email.com","No","No","No","Johnson","","102","","","General Education","2024-05-28","2025-05-08","2024-08-08","Dr. Wilson","","","No accommodations needed","No accommodations needed","false","false","Economics","100064","187","PE","100033","275","Government","100074","186","History","100072","143","Math","100033","196","Band","100047","194","Journalism","100074","112"
"123456820","Flores","Mateo","Aria","11","2006-01-14","Female","Other","Central High School","5853 Elm Lane","Springfield","CA","90210","555-1309","Grayson Flores","555-3059","mateo.flores@email.com","No","No","Yes","","ADHD","","Improve academic skills and social development","","General Education","2024-07-20","2025-01-22","2024-08-03","","","","No accommodations needed","Extended time; Separate setting","false","false","Spanish","100042","274","German","100034","193","Biology","100061","228","Math","100049","185","Science","100056","126","Drama","100040","224","History","100045","231"
"123456821","Martin","David","Nathan","12","2005-09-14","Male","Black","Central High School","2241 Elm Avenue","Springfield","CA","90210","555-5528","Sofia Martin","555-7104","david.martin@email.com","No","No","No","Williams","Emotional Disturbance","","","","General Education","2024-09-03","2025-03-03","2024-04-06","","","","Extended time; Preferential seating","No accommodations needed","false","false","Spanish","100075","143","Economics","100038","209","World History","100047","180","PE","100060","289","French","100040","128","English","100037","265","Art","100055","261"
"123456822","Martin","Mia","Hunter","12","2005-03-25","Male","Black","Central High School","7027 Oak Drive","Springfield","CA","90210","555-9885","Nathan Martin","555-1603","mia.martin@email.com","No","No","Yes","","Emotional Disturbance","","Improve academic skills and social development","","General Education","2024-12-12","2025-03-07","2024-11-10","","Dr. Brown","Ms. Davis","No accommodations needed","No accommodations needed","false","false","Art","100054","156","US History","100038","262","English","100042","155","Journalism","100032","173","Economics","100055","128","PE","100065","174","Science","100045","222"
"123456823","Rodriguez","Lucas","Benjamin","9","2009-10-16","Female","White","Central High School","5774 Elm Road","Springfield","CA","90210","555-3416","Gabriel Rodriguez","555-0890","lucas.rodriguez@email.com","No","No","No","Williams","","","","","General Education","2024-08-16","2025-05-02","2024-06-26","","","","No accommodations needed","No accommodations needed","false","false","Science","100034","125","Economics","100036","292","Psychology","100048","238","Spanish","100064","176","Drama","100057","237","Economics","100034","290","Math","100031","160"
"123456824","Wright","Henry","Elizabeth","10","2007-03-09","Female","Hispanic","Central High School","7023 Oak Lane","Springfield","CA","90210","555-5696","Christian Wright","555-4802","henry.wright@email.com","No","No","No","Williams","Learning Disability","158","","","General Education","2024-06-13","2025-11-25","2024-12-18","","Dr. Brown","","Extended time; Preferential seating","No accommodations needed","false","false","PE","100036","198","Geometry","100044","144","Computer Science","100054","182","Computer Science","100040","288","Economics","100062","224","French","100074","217","US History","100065","129"
"123456825","Anderson","Aria","Audrey","12","2005-01-02","Male","Hispanic","Central High School","1418 Cedar Road","Springfield","CA","90210","555-3767","Amelia Anderson","555-4156","aria.anderson@email.com","No","No","No","","","","","","General Education","2024-01-17","2025-08-25","2024-05-10","","","","No accommodations needed","No accommodations needed","false","false","Band","100065","213","US History","100046","186","Economics","100044","236","Sociology","100049","209","Physics","100039","224","Geometry","100049","245","Science","100055","167"
"123456826","Torres","Ethan","Layla","12","2005-04-10","Female","Black","Central High School","8776 Oak Drive","Springfield","CA","90210","555-9161","Amelia Torres","555-8196","ethan.torres@email.com","No","No","Yes","Brown","","","Improve academic skills and social development","","General Education","2024-07-17","2025-03-26","2024-03-19","","","","No accommodations needed","No accommodations needed","false","true","Drama","100032","177","Government","100040","213","Creative Writing","100035","260","Choir","100064","205","Geometry","100057","143","Choir","100060","221","Chemistry","100064","283"
"123456827","Taylor","Elizabeth","Ellie","11","2006-05-01","Female","Black","Central High School","8099 Maple Avenue","Springfield","CA","90210","555-6970","Elizabeth Taylor","555-5788","elizabeth.taylor@email.com","No","Yes","Yes","","","","Improve academic skills and social development","","Special Education","2024-05-20","2025-08-08","2024-06-26","","","Ms. Davis","No accommodations needed","No accommodations needed","false","false","History","100063","288","World History","100063","257","Psychology","100032","119","Psychology","100057","211","Literature","100035","149","Journalism","100050","120","Calculus","100045","159"
"123456828","Davis","Christian","James","10","2008-08-07","Male","Black","Central High School","2195 Elm Drive","Springfield","CA","90210","555-8319","Savannah Davis","555-7108","christian.davis@email.com","No","No","No","Brown","ADHD","","","","General Education","2024-05-01","2025-10-25","2024-07-06","Dr. Wilson","","","Extended time; Preferential seating","No accommodations needed","false","false","Biology","100053","164","Psychology","100034","239","Geometry","100060","129","Drama","100038","264","Science","100046","277","Music","100056","292","Algebra","100044","182"
"123456829","Carter","Isaac","James","11","2006-09-12","Male","Asian","Central High School","3438 Oak Drive","Springfield","CA","90210","555-6542","Hazel Carter","555-9559","isaac.carter@email.com","Yes","No","No","","","","","","General Education","2024-06-14","2025-02-03","2024-12-14","Dr. Wilson","","","Extended time; Preferential seating","No accommodations needed","true","false","Chemistry","100073","276","Calculus","100039","293","US History","100055","208","History","100059","276","Choir","100060","258","Math","100072","202","Chemistry","100075","268"
"123456830","Jackson","Noah","Ellie","11","2007-08-23","Male","Black","Central High School","4011 Pine Lane","Springfield","CA","90210","555-7209","Benjamin Jackson","555-0277","noah.jackson@email.com","No","No","No","","Autism Spectrum","175","","Student shows good progress with current interventions","General Education","2024-12-19","2025-12-26","2024-02-07","","","Ms. Davis","No accommodations needed","Extended time; Separate setting","false","false","Psychology","100063","233","Literature","100055","215","Government","100054","143","Physics","100064","292","History","100040","122","Sociology","100055","151","US History","100060","277"
"123456831","Jackson","Christian","Grayson","10","2008-11-08","Female","Hispanic","Central High School","1237 Elm Road","Springfield","CA","90210","555-4351","Mia Jackson","555-1618","christian.jackson@email.com","No","No","No","Johnson","Speech Impairment","","","","Special Education","2024-02-10","2025-07-25","2024-01-06","","","","Extended time; Preferential seating","Extended time; Separate setting","false","false","Algebra","100064","110","Choir","100045","285","Journalism","100040","257","Calculus","100046","262","English","100074","285","US History","100075","215","French","100061","140"
"123456832","Harris","Riley","Anthony","11","2006-06-05","Female","Black","Central High School","9912 Oak Avenue","Springfield","CA","90210","555-9970","Liam Harris","555-3286","riley.harris@email.com","No","No","No","","Speech Impairment","134","","","General Education","2024-05-12","2025-03-15","2024-12-01","","","","No accommodations needed","Extended time; Separate setting","false","false","Physics","100056","243","US History","100050","163","Journalism","100033","219","Drama","100071","177","Music","100058","108","Economics","100037","160","Geometry","100041","213"
"123456833","Thomas","Sofia","Levi","10","2007-11-17","Female","White","Central High School","3982 Oak Street","Springfield","CA","90210","555-0675","Luke Thomas","555-5594","sofia.thomas@email.com","No","No","No","","ADHD","218","Improve academic skills and social development","Student shows good progress with current interventions","Special Education","2024-10-09","2025-05-14","2024-05-28","Dr. Wilson","Dr. Brown","","No accommodations needed","Extended time; Separate setting","false","false","Band","100059","107","Creative Writing","100073","154","Physics","100059","250","Biology","100065","133","Science","100064","233","Music","100053","177","Government","100052","206"
"123456834","White","Henry","Benjamin","11","2007-04-28","Male","Other","Central High School","7009 Elm Drive","Springfield","CA","90210","555-8836","Lily White","555-0403","henry.white@email.com","No","No","No","Williams","Autism Spectrum","","","","Special Education","2024-06-14","2025-09-24","2024-06-16","","","","Extended time; Preferential seating","No accommodations needed","false","false","History","100045","180","Spanish","100031","218","Calculus","100055","202","Physics","100031","188","Geometry","100055","132","Drama","100041","122","Geometry","100031","134"
"123456835","Scott","Mateo","Mia","12","2005-02-19","Female","Black","Central High School","6116 Maple Road","Springfield","CA","90210","555-2574","Penelope Scott","555-1089","mateo.scott@email.com","Yes","No","No","Williams","","","Improve academic skills and social development","","General Education","2024-08-23","2025-06-07","2024-01-08","","","Ms. Davis","No accommodations needed","No accommodations needed","false","false","PE","100049","193","US History","100062","195","Drama","100070","247","Biology","100074","267","Band","100037","140","Math","100051","299","Literature","100068","285"
"123456836","Brown","Liam","Brooklyn","12","2006-08-15","Female","Asian","Central High School","2150 Pine Avenue","Springfield","CA","90210","555-8490","Aubrey Brown","555-8874","liam.brown@email.com","Yes","No","Yes","","","","","","Special Education","2024-02-09","2025-06-18","2024-02-13","","","","No accommodations needed","No accommodations needed","true","false","Calculus","100050","158","Drama","100068","254","Psychology","100058","279","Drama","100044","120","Spanish","100073","107","Creative Writing","100031","225","Algebra","100039","255"
"123456837","Lewis","Mateo","Ethan","11","2007-05-23","Female","Asian","Central High School","6987 Oak Lane","Springfield","CA","90210","555-8815","John Lewis","555-0926","mateo.lewis@email.com","No","No","No","","Speech Impairment","","","","General Education","2024-02-02","2025-04-07","2024-07-15","","","","No accommodations needed","No accommodations needed","false","true","Psychology","100073","226","English","100045","228","Drama","100068","287","Algebra","100074","148","Band","100075","145","Band","100053","269","Spanish","100035","280"
"123456838","Martinez","Owen","Henry","12","2005-06-15","Female","Hispanic","Central High School","4985 Oak Avenue","Springfield","CA","90210","555-8399","Ellie Martinez","555-9148","owen.martinez@email.com","No","No","No","Johnson","","","","Student shows good progress with current interventions","General Education","2024-10-15","2025-11-16","2024-11-01","","","","Extended time; Preferential seating","No accommodations needed","false","false","US History","100068","288","Physics","100038","156","Spanish","100066","297","Choir","100067","299","PE","100063","190","Literature","100070","131","French","100034","135"
"123456839","Anderson","James","Natalie","11","2007-04-25","Female","White","Central High School","2922 Maple Drive","Springfield","CA","90210","555-4991","Mia Anderson","555-9177","james.anderson@email.com","No","No","Yes","Brown","","","","Student shows good progress with current interventions","General Education","2024-12-26","2025-06-08","2024-01-24","","","","Extended time; Preferential seating","Extended time; Separate setting","false","false","Math","100072","148","English","100069","292","Art","100051","258","World History","100037","122","History","100050","118","Creative Writing","100040","219","Band","100074","220"
"123456840","Carter","Andrew","John","12","2005-08-14","Male","Other","Central High School","646 Maple Avenue","Springfield","CA","90210","555-4675","Isaac Carter","555-7987","andrew.carter@email.com","No","Yes","No","","","192","","Student shows good progress with current interventions","General Education","2024-05-04","2025-05-08","2024-03-08","","","","No accommodations needed","No accommodations needed","false","true","Creative Writing","100047","253","English","100075","150","Physics","100033","202","Computer Science","100075","178","Geometry","100068","228","PE","100053","139","Math","100034","141"
"123456841","Taylor","Bella","Lillian","10","2008-03-06","Female","White","Central High School","7468 Maple Lane","Springfield","CA","90210","555-6234","Joseph Taylor","555-6220","bella.taylor@email.com","Yes","No","No","Johnson","","","Improve academic skills and social development","","General Education","2024-01-04","2025-10-08","2024-08-06","","","","Extended time; Preferential seating","No accommodations needed","false","false","Economics","100059","120","Economics","100034","162","Calculus","100052","258","PE","100055","233","Computer Science","100043","148","French","100068","166","US History","100039","201"
"123456842","Clark","Thomas","Hazel","9","2008-01-15","Female","Asian","Central High School","5214 Cedar Street","Springfield","CA","90210","555-8482","Harper Clark","555-4108","thomas.clark@email.com","No","No","No","Williams","","","","","Special Education","2024-03-08","2025-07-02","2024-09-16","","","Ms. Davis","No accommodations needed","No accommodations needed","true","false","Band","100065","120","History","100034","243","English","100037","129","Computer Science","100036","242","Physics","100070","254","Band","100071","273","US History","100045","254"
"123456843","King","Mateo","Madison","10","2007-06-23","Female","Asian","Central High School","3721 Cedar Drive","Springfield","CA","90210","555-1964","Zoe King","555-6611","mateo.king@email.com","No","Yes","No","Williams","","","","","Special Education","2024-08-17","2025-07-09","2024-11-07","","","Ms. Davis","Extended time; Preferential seating","No accommodations needed","false","false","Psychology","100032","291","Calculus","100036","252","Drama","100070","295","Music","100058","231","Physics","100060","211","Economics","100056","171","Geometry","100067","213"
"123456844","Miller","Julian","Nathan","11","2007-04-24","Female","Other","Central High School","4147 Pine Avenue","Springfield","CA","90210","555-7346","Riley Miller","555-7244","julian.miller@email.com","No","No","No","","Emotional Disturbance","220","","","Special Education","2024-06-25","2025-05-20","2024-04-10","","","","Extended time; Preferential seating","No accommodations needed","false","false","Chemistry","100034","279","Journalism","100067","298","Algebra","100033","128","Physics","100037","246","Journalism","100045","178","Drama","100040","134","Band","100043","191"
"123456845","Baker","Victoria","Emma","12","2006-12-02","Female","Asian","Central High School","8493 Elm Avenue","Springfield","CA","90210","555-2440","Leah Baker","555-0242","victoria.baker@email.com","Yes","No","No","Brown","","79","","","Special Education","2024-07-08","2025-11-05","2024-07-28","","","","No accommodations needed","No accommodations needed","false","false","PE","100036","267","Science","100064","231","Biology","100058","202","Algebra","100041","273","Geometry","100033","206","Choir","100051","278","Government","100054","173"
"123456846","Ramirez","Zoey","Audrey","12","2006-06-03","Male","Asian","Central High School","1628 Oak Avenue","Springfield","CA","90210","555-7984","Sofia Ramirez","555-8574","zoey.ramirez@email.com","No","Yes","No","","Learning Disability","","Improve academic skills and social development","","General Education","2024-03-05","2025-10-15","2024-12-18","","","","No accommodations needed","No accommodations needed","false","false","Geometry","100036","160","Algebra","100062","176","Psychology","100053","228","World History","100067","111","PE","100060","256","Calculus","100059","164","Spanish","100056","241"
